日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3
2019-01-01,优,41,72,28,26,7,10,0.84,47
2019-01-02,优,37,56,25,26,8,12,0.89,45
2019-01-03,优,39,53,27,25,9,17,0.77,38
2019-01-04,优,19,5,13,16,8,19,0.85,18
2019-01-05,优,18,7,12,13,12,17,0.96,25
2019-01-06,优,29,39,20,24,8,16,0.84,32
2019-01-07,优,23,10,16,17,7,18,1.09,23
2019-01-08,优,25,37,17,19,7,17,1.20,39
2019-01-09,优,22,20,14,16,7,19,1.29,36
2019-01-10,优,16,3,11,12,8,23,1.28,16
2019-01-11,优,20,9,12,11,8,25,1.35,11
2019-01-12,优,37,48,25,30,7,25,1.35,17
2019-01-13,优,27,8,18,22,7,20,1.20,25
2019-01-14,优,30,10,20,24,8,20,1.15,24
2019-01-15,优,30,12,21,25,6,16,0.99,44
2019-01-16,良,83,284,61,43,7,21,1.10,48
2019-01-17,良,52,87,36,37,9,20,1.21,42
2019-01-18,良,68,137,48,63,19,31,1.15,27
2019-01-19,良,81,169,60,78,16,38,1.55,8
2019-01-20,优,36,27,25,27,7,16,0.88,51
2019-01-21,轻度污染,106,303,79,78,10,22,0.92,64
2019-01-22,良,89,201,65,82,13,31,0.87,61
2019-01-23,良,89,195,65,97,13,51,0.98,40
2019-01-24,轻度污染,109,220,81,125,13,47,1.14,20
2019-01-25,轻度污染,117,269,88,124,11,35,1.14,30
2019-01-26,轻度污染,144,322,109,129,12,25,1.06,82
2019-01-27,中度污染,174,339,131,171,10,37,1.39,71
2019-01-28,中度污染,171,340,129,189,9,46,1.55,50
2019-01-29,轻度污染,142,300,108,143,8,27,1.16,64
2019-01-30,轻度污染,132,288,99,146,8,37,1.35,49
2019-01-31,良,61,229,43,60,5,26,1.21,48
2019-02-01,良,85,239,62,71,7,20,0.95,75
2019-02-02,轻度污染,104,250,78,104,7,38,1.36,27
2019-02-03,良,66,120,47,62,6,20,0.97,47
2019-02-04,良,77,173,46,101,12,13,0.71,68
2019-02-05,中度污染,164,273,123,169,18,19,0.96,47
2019-02-06,轻度污染,113,275,84,111,8,17,0.76,40
2019-02-07,良,59,192,41,49,5,15,0.73,36
2019-02-08,优,28,30,18,24,5,11,1.05,28
2019-02-09,优,16,4,6,10,5,8,0.72,31
2019-02-10,优,16,11,7,10,5,8,0.72,29
2019-02-11,优,22,30,11,15,5,8,0.81,36
2019-02-12,优,43,101,29,37,5,15,1.01,20
2019-02-13,优,12,2,6,6,5,12,1.08,20
2019-02-14,优,14,4,8,11,5,10,1.01,20
2019-02-15,优,12,3,8,10,5,11,1.00,17
2019-02-16,优,16,3,5,9,5,11,0.82,33
2019-02-17,优,13,4,4,6,5,14,0.99,24
2019-02-18,优,14,4,6,9,5,12,0.95,23
2019-02-19,优,23,13,13,21,5,15,0.93,24
2019-02-20,优,20,5,13,17,5,12,0.86,28
2019-02-21,优,22,19,9,10,5,12,0.86,44
2019-02-22,优,35,59,24,23,5,12,0.79,56
2019-02-23,优,40,78,20,21,5,14,0.83,67
2019-02-24,优,32,56,17,22,5,13,0.77,61
2019-02-25,优,50,103,34,41,6,15,0.83,60
2019-02-26,优,42,55,29,35,5,22,0.88,44
2019-02-27,优,19,3,8,10,5,17,1.05,40
2019-02-28,优,36,43,20,23,5,17,0.90,69
2019-03-01,优,28,13,18,24,5,23,0.84,37
2019-03-02,优,15,1,8,11,5,18,1.01,27
2019-03-03,优,28,13,12,18,6,15,0.90,59
2019-03-04,优,46,64,31,42,7,32,1.01,41
2019-03-05,优,30,13,18,18,7,29,1.03,36
2019-03-06,优,36,66,14,19,6,14,0.82,73
2019-03-07,优,42,87,25,29,7,15,0.79,77
2019-03-08,良,53,123,37,48,9,22,0.88,79
2019-03-09,优,36,60,16,19,7,18,0.87,69
2019-03-10,优,44,75,29,40,8,21,0.89,76
2019-03-11,良,58,132,36,53,10,24,0.81,89
2019-03-12,良,68,198,46,70,11,35,0.95,73
2019-03-13,良,93,339,69,102,13,41,1.08,60
2019-03-14,良,67,251,47,53,8,17,0.82,86
2019-03-15,良,53,137,36,39,8,19,0.76,81
2019-03-16,良,57,133,40,53,9,26,0.81,53
2019-03-17,优,38,21,26,32,9,25,0.82,44
2019-03-18,优,30,9,19,27,7,26,0.88,29
2019-03-19,优,48,48,33,44,17,30,1.07,11
2019-03-20,良,55,126,38,55,8,29,1.11,36
2019-03-21,良,51,120,32,49,7,16,0.87,58
2019-03-22,优,29,17,10,16,7,11,0.79,56
2019-03-23,优,28,28,8,12,5,12,0.82,54
2019-03-24,优,46,91,31,35,8,20,0.86,55
2019-03-25,优,31,17,20,27,9,20,0.98,41
2019-03-26,优,38,16,26,30,8,30,1.14,25
2019-03-27,良,53,96,37,48,11,35,1.71,6
2019-03-28,良,63,198,44,61,8,27,1.51,15
2019-03-29,优,49,87,30,45,9,19,0.75,72
2019-03-30,良,57,132,37,57,10,21,0.77,74
2019-03-31,良,61,239,41,58,8,15,0.74,95
2019-04-01,优,39,39,17,22,7,15,0.67,72
2019-04-02,良,59,198,42,56,22,27,0.90,21
2019-04-03,优,39,58,22,27,8,18,0.90,50
2019-04-04,优,26,16,15,19,9,17,0.71,44
2019-04-05,优,39,39,25,36,10,16,0.75,44
2019-04-06,良,56,126,39,52,9,18,0.82,34
2019-04-07,良,69,197,49,64,7,20,0.94,49
2019-04-08,良,63,175,44,63,8,18,0.78,41
2019-04-09,良,58,278,37,61,8,13,0.66,69
2019-04-10,良,52,204,24,39,10,15,0.80,92
2019-04-11,优,37,76,21,29,8,13,0.58,65
2019-04-12,优,40,68,21,31,8,17,0.68,68
2019-04-13,优,44,72,29,40,10,25,0.86,29
2019-04-14,优,33,23,20,26,7,14,0.77,61
2019-04-15,优,48,86,30,45,9,17,0.68,67
2019-04-16,优,37,38,14,26,9,19,0.72,67
2019-04-17,优,46,54,28,43,12,23,0.78,47
2019-04-18,优,37,16,24,33,8,27,0.83,23
2019-04-19,优,47,69,30,46,10,27,0.85,22
2019-04-20,优,45,61,25,44,10,20,0.66,54
2019-04-21,良,58,177,40,61,9,26,0.92,22
2019-04-22,优,44,98,22,35,8,15,0.78,76
2019-04-23,良,54,162,37,55,17,21,0.83,41
2019-04-24,良,56,137,35,61,9,19,0.82,40
2019-04-25,良,57,202,30,54,14,18,0.71,76
2019-04-26,良,56,233,35,51,11,16,0.76,65
2019-04-27,优,40,47,14,21,8,10,0.70,78
2019-04-28,优,39,56,22,37,13,23,0.90,26
2019-04-29,优,29,27,19,25,15,20,1.00,19
2019-04-30,优,29,25,11,19,10,17,0.94,52
2019-05-01,优,44,73,23,37,11,14,0.80,74
2019-05-02,良,63,167,36,66,10,18,0.88,109
2019-05-03,良,73,225,52,88,11,25,1.02,66
2019-05-04,良,62,148,44,56,13,29,1.09,26
2019-05-05,优,29,26,17,21,9,23,0.98,38
2019-05-06,优,28,33,9,12,6,15,0.84,54
2019-05-07,优,38,53,7,13,6,13,0.81,74
2019-05-08,优,34,43,10,15,6,13,0.83,67
2019-05-09,优,37,52,23,32,7,15,0.84,67
2019-05-10,优,50,85,27,41,8,18,0.81,76
2019-05-11,良,62,119,41,68,19,25,0.93,70
2019-05-12,良,83,207,60,89,13,26,1.08,41
2019-05-13,良,54,102,36,54,7,15,0.91,60
2019-05-14,优,49,77,32,50,11,17,0.97,70
2019-05-15,优,49,123,32,51,7,17,0.73,31
